Security,Symbol,GICS Sector,GICS Sub Industry,Dividend Yield,Market Cap ($M),P/E Ratio
Marathon Oil Corp.,MRO,Energy,Oil & Gas Exploration & Production,0.012578616,13217.286428,24.46875
Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing,0.028714108,44269.893946,12.5392156863
Marriott Int'l.,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.01492945,37473.163455,18.6112054329
Marsh & McLennan,MMC,Financials,Insurance Brokers,0.019875479,42069.700178,19.1554524362
Martin Marietta Materials,MLM,Materials,Construction Materials,0.010927718,11018.511226,21.9109336609
Masco Corp.,MAS,Industrials,Building Products,0.015180266,9659.857732,13.9475982533
Mastercard Inc.,MA,Information Technology,Internet Software & Services,0.0065043855,225036.939254,32.8569078947
Mattel Inc.,MAT,Consumer Discretionary,Leisure Products,0.0,4290.224282,-7.31764705882
McCormick & Co.,MKC,Consumer Staples,Packaged Foods & Meats,0.01878708,15978.888065,24.3299798793
Maxim Integrated Products Inc,MXIM,Information Technology,Semiconductors,0.032699485,15590.327976,20.4944649446
McDonald's Corp.,MCD,Consumer Discretionary,Restaurants,0.025217392,141847.486,24.0665349144
McKesson Corp.,MCK,Health Care,Health Care Distributors,0.012278631,24822.549005,9.88132911392
Medtronic plc,MDT,Health Care,Health Care Equipment,0.022983222,116871.812187,17.9958158996
Merck & Co.,MRK,Health Care,Pharmaceuticals,0.030157642,189697.465675,16.9135514019
MetLife Inc.,MET,Financials,Life & Health Insurance,0.036947439,44871.535318,8.75922330097
Mettler Toledo,MTD,Health Care,Life Sciences Tools & Services,0.0,15391.421957,31.1994353183
MGM Resorts International,MGM,Consumer Discretionary,Casinos & Gaming,0.016724739,15130.581395,33.9821428571
Microchip Technology,MCHP,Information Technology,Semiconductors,0.018057795,19069.774208,15.2095238095
Micron Technology,MU,Information Technology,Semiconductors,0.0,43675.983679,3.24471682164
Microsoft Corp.,MSFT,Information Technology,Systems Software,0.017168984,822660.361937,27.1237113402
Mid-America Apartments,MAA,Real Estate,Residential REITs,0.03799347,11505.583111,16.9415692821
Mohawk Industries,MHK,Consumer Discretionary,Home Furnishings,0.0,9464.817424,9.68178382464
Molson Coors Brewing Company,TAP,Consumer Staples,Brewers,0.02546584,10482.64077,13.2572614108
Mondelez International,MDLZ,Consumer Staples,Packaged Foods & Meats,0.024344568,62107.848929,18.0675105485
Monster Beverage,MNST,Consumer Staples,Soft Drinks,0.0,30883.010414,32.4127906977
Moody's Corp,MCO,Financials,Financial Exchanges & Data,0.011243851,29991.148,21.458677686
Morgan Stanley,MS,Financials,Investment Banking & Brokerage,0.027919962,73066.0,9.09892473118
The Mosaic Company,MOS,Materials,Fertilizers & Agricultural Chemicals,0.0031357792,12292.641011,18.5177514793
Motorola Solutions Inc.,MSI,Information Technology,Communications Equipment,0.019624721,18994.808553,18.2547770701
MSCI Inc,MSCI,Financials,Financial Exchanges & Data,0.01416102,14422.422143,31.7338551859
Mylan N.V.,MYL,Health Care,Pharmaceuticals,0.0,14973.938499,6.0838641189
"Nasdaq, Inc.",NDAQ,Financials,Financial Exchanges & Data,0.020539153,14049.477558,18.4783549784
National Oilwell Varco Inc.,NOV,Energy,Oil & Gas Equipment & Services,0.006570302,11669.677721,-187.15625
Nektar Therapeutics,NKTR,Health Care,Pharmaceuticals,0.0,7601.903346,10.7394540943
NetApp,NTAP,Information Technology,Internet Software & Services,0.025105915,16052.692358,20.9302325581
Netflix Inc.,NFLX,Communication Services,Movies & Entertainment,0.0,147418.53256,123.690298507
Newell Brands,NWL,Consumer Discretionary,Housewares & Specialties,0.04315197,9952.176,8.9768907563
Newfield Exploration Co,NFX,Energy,Oil & Gas Exploration & Production,0.0,3712.632,5.17528735632
Newmont Mining Corporation,NEM,Materials,Gold,0.016887816,17663.112873,24.7313432836
News Corp. Class A,NWSA,Communication Services,Publishing,0.015760441,7421.683697,28.0555555556
News Corp. Class B,NWS,Communication Services,Publishing,0.015625,7486.016653,
NextEra Energy,NEE,Utilities,Multi-Utilities,0.025487945,83258.063769,22.4158031088
Nielsen Holdings,NLSN,Industrials,Research & Consulting Services,0.054517136,9115.971658,14.5310734463
Nike,NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.01091676,126863.820102,33.51875
NiSource Inc.,NI,Utilities,Multi-Utilities,0.029590287,9804.95467,20.7480314961
Noble Energy Inc,NBL,Energy,Oil & Gas Exploration & Production,0.02006384,10521.99207,19.5945945946
Nordstrom,JWN,Consumer Discretionary,Department Stores,0.031435854,7877.607517,15.6457627119
Norfolk Southern Corp.,NSC,Industrials,Railroads,0.020833333,44268.419697,17.2431722689
Northern Trust Corp.,NTRS,Financials,Asset Management & Custody Banks,0.026336002,19958.56356,13.4205052006
Northrop Grumman Corp.,NOC,Industrials,Aerospace & Defense,0.017592728,47370.401676,15.4994285714
Norwegian Cruise Line,NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.0,10543.455192,10.0861344538
NRG Energy,NRG,Utilities,Independent Power Producers & Energy Traders,0.0029318348,11866.835882,15.4144486692
Nucor Corp.,NUE,Materials,Steel,0.027538726,18239.480574,9.24758842444
Nvidia Corporation,NVDA,Information Technology,Semiconductors,0.0039962536,97691.5,29.7068965517
O'Reilly Automotive,ORLY,Consumer Discretionary,Specialty Stores,0.0,27030.411189,21.8943754088
Occidental Petroleum,OXY,Energy,Oil & Gas Exploration & Production,0.04689614,50231.875655,15.6380952381
Omnicom Group,OMC,Communication Services,Advertising,0.031413612,17121.67357,13.8688969259
ONEOK,OKE,Energy,Oil & Gas Storage & Transportation,0.05509289,25685.410624,23.8494208494
Oracle Corp.,ORCL,Information Technology,Application Software,0.015261045,178728.1662,17.461130742
PACCAR Inc.,PCAR,Industrials,Construction Machinery & Heavy Trucks,0.020417929,21906.092437,10.6672443674
Packaging Corporation of America,PKG,Materials,Paper Packaging,0.033524294,8907.315309,12.5154986523
Parker-Hannifin,PH,Industrials,Industrial Machinery,0.01888316,21306.842005,15.1008645533
Paychex Inc.,PAYX,Information Technology,Internet Software & Services,0.031822703,25276.427879,28.5551020408
PayPal,PYPL,Information Technology,Data Processing & Outsourced Services,0.0,111095.694817,53.9883040936
Pentair plc,PNR,Industrials,Industrial Machinery,0.017535315,7128.058292,13.3039215686
People's United Financial,PBCT,Financials,Thrifts & Mortgage Finance,0.041791043,6323.377825,12.8244274809
PepsiCo Inc.,PEP,Consumer Staples,Soft Drinks,0.033927755,154354.9608,19.8811700183
PerkinElmer,PKI,Health Care,Health Care Equipment,0.0032373685,9621.079619,25.142228739
Perrigo,PRGO,Health Care,Pharmaceuticals,0.016557734,6235.81537,9.41237113402
Pfizer Inc.,PFE,Health Care,Pharmaceuticals,0.03543307,234918.48685,13.4966442953
Philip Morris International,PM,Consumer Staples,Tobacco,0.06269765,113060.52332,14.0794573643
Phillips 66,PSX,Energy,Oil & Gas Refining & Marketing,0.034401205,42893.877359,11.5892634207
Pinnacle West Capital,PNW,Utilities,Multi-Utilities,0.033931446,9744.212509,19.3222222222
Pioneer Natural Resources,PXD,Energy,Oil & Gas Exploration & Production,0.0022819653,23903.89874,21.9056603774
PNC Financial Services,PNC,Financials,Regional Banks,0.03041947,57088.44,11.6287313433
Polo Ralph Lauren Corp.,RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.021999297,9140.991252,18.9212271973
PPG Industries,PPG,Materials,Specialty Chemicals,0.018550725,24828.079802,17.519524618
PPL Corp.,PPL,Utilities,Electric Utilities,0.053472447,22088.531608,12.5987654321
Principal Financial Group,PFG,Financials,Life & Health Insurance,0.04313099,14175.067928,8.90196078431
Procter & Gamble,PG,Consumer Staples,Personal Products,0.030649574,234147.860762,22.1563981043
Progressive Corp.,PGR,Financials,Property & Casualty Insurance,0.017223583,38082.96,14.721719457
Prologis,PLD,Real Estate,Industrial REITs,0.029086502,41555.2753,21.8217821782
Prudential Financial,PRU,Financials,Life & Health Insurance,0.038747175,38371.83,7.74182732607
Public Serv. Enterprise Inc.,PEG,Utilities,Electric Utilities,0.034188035,26611.927232,16.7843450479
Public Storage,PSA,Real Estate,Specialized REITs,0.038902936,35856.313724,19.3534971645
Pulte Homes Inc.,PHM,Consumer Discretionary,Homebuilding,0.016320475,7572.021511,8.12874251497
PVH Corp.,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.001384147,8207.426008,13.5579345088
Qorvo,QRVO,Information Technology,Semiconductors,0.0,8213.75497,14.1781857451
Quanta Services Inc.,PWR,Industrials,Construction & Engineering,0.0046043167,5074.56759,16.7572815534
QUALCOMM Inc.,QCOM,Information Technology,Semiconductors,0.04834308,62083.250407,16.0062695925
Quest Diagnostics,DGX,Health Care,Health Care Services,0.024821448,11621.918488,13.4265402844
Raymond James Financial Inc.,RJF,Financials,Investment Banking & Brokerage,0.016777695,11397.036,12.5479134467
Raytheon Co.,RTN,Industrials,Aerospace & Defense,0.020702822,47697.95097,18.8096304591
Realty Income Corporation,O,Real Estate,Retail REITs,0.04149034,19247.489521,20.7041139241
Red Hat Inc.,RHT,Information Technology,Systems Software,0.0,31198.222602,78.2533333333
